,Parcel_ID,Block #,Parcel #,Ward #,Land use
266,260,55,14,4,Residential
267,261,55,15,4,Residential
268,262,55,16,4,Residential
269,263,55,17,4,Residential
270,264,55,18,4,Residential
271,265,55,19,4,Residential
272,266,55,20,4,Residential
273,267,55,21,4,Residential
274,268,55,22,4,Residential
275,269,55,23,4,Residential
276,270,55,24,4,Residential
277,271,55,25,4,Residential
278,272,55,26,4,Residential
279,273,55,27,4,Residential
280,274,55,28,4,Residential
281,275,55,29,4,Residential
282,276,55,30,4,Residential
283,277,55,31,4,Residential
284,278,55,32,4,Residential
285,279,55,33,4,Residential
286,280,55,34,4,Residential
287,281,55,35,4,Residential
288,282,55,36,4,Residential
289,283,55,37,4,Residential
290,284,55,38,4,Residential
291,285,55,39,4,Residential
292,286,55,40,4,Residential
293,287,55,41,4,Church
294,288,55,42,4,Residential
295,289,55,43,4,Residential
296,290,55,44,4,Residential
297,291,55,45,4,Residential
298,292,55,46,4,Residential
299,293,55,47,4,Residential
300,294,55,48,4,Residential
301,295,55,49,4,Residential
302,296,55,50,4,Residential
303,297,55,51,4,Residential
304,298,55,52,4,Residential
305,299,56A,25,4,Residential
307,300,56,2,4,Residential
308,301,56,4,4,Residential
309,302,56,16,4,Residential
310,303,56,18,4,Residential
311,304,56,19,4,Residential
312,305,56A,4,4,Residential
313,306,56A,13,4,Residential
314,307,57,1,4,Commercial
315,308,57,2,4,Residential
316,309,57,3,4,Residential
317,310,57,4,4,Residential
318,311,57,5,4,Residential
319,312,57,6,4,Residential
320,313,57,7,4,Residential
321,314,57,8,4,Residential
322,315,57,9,4,Residential
323,316,57,10,4,Residential
324,317,57,11,4,Residential
325,318,57,12,4,Residential
326,319,57,13,4,Residential
327,320,57,14,4,Residential
328,321,58,3,4,Residential
329,322,58,4,4,Residential
330,323,58,6,4,Residential
331,324,59,1,4,Residential
332,325,59,2,4,Residential
333,326,59,3,4,Residential
334,327,59,4,4,Residential
335,328,59,5,4,Residential
336,329,59,6,4,Residential
337,330,59,7,4,Residential
338,331,59,8,4,Residential
339,332,59,9,4,Residential
340,333,59,10,4,Residential
341,334,59,11,4,Residential
342,335,59,12,4,Residential
343,336,59,13A,4,Residential
344,337,59,13B,4,Residential
345,338,59,14,4,Residential
346,339,59,15,4,Residential
347,340,59,17,4,Residential
348,341,59,18,4,Residential
349,342,59,19,4,Residential
350,343,60,1,4,Residential
351,344,60,2,4,Residential
352,345,60,3,4,Residential
353,346,60,4,4,Residential
354,347,60,6,4,Residential
355,348,60,7,4,Residential
356,349,60,8,4,Residential
357,350,60,9,4,Residential
358,351,60,10,4,Residential
359,352,60,11,4,Residential
360,353,61,1,4,Residential
361,354,61,5A,4,Residential
362,355,61,5B,4,Residential
363,356,59,16,,
365,357,61,6,4,Residential
366,358,61,15,4,Residential
367,359,61,16,4,Residential
368,360,61,17,4,Residential
369,361,62,1A,4,Residential
370,362,62,1B,4,Residential
371,363,62,2,4,Residential
372,364,62,3,4,Residential
373,365,62,4,4,Residential
374,366,62,5,4,Residential
375,367,62,6,4,Residential
376,368,63,12,4,Residential
377,369,64,5,4,Residential
378,370,71,1,4,Commercial
379,371,71,2,4,Commercial
380,372,71,3,4,Commercial
381,373,71,4,4,Commercial
382,374,71,5,4,Commercial
383,375,71,6,4,Commercial
384,376,71,7,4,commercial
385,377,71,8,4,commercial
386,378,71,9,4,Residential
387,379,71,10,4,Residential
388,380,71,11,4,Residential
389,381,71,12,4,commercial
390,382,71,13,4,commercial
391,383,71,14,4,Residential
392,384,71,15,4,
393,385,71,16,4,Residential
394,386,71,17,4,Commercial
395,387,71,18,4,Residential
396,388,71,19,4,Residential
397,389,71,20,4,Commercial
398,390,71,22,4,Residential
399,391,71,23,4,Residential
400,392,71,24,4,Residential
401,393,71,25,4,Residential
402,394,71,26,4,Residential
404,395,71,27,4,Residential
405,396,71,28,4,Residential
406,397,71,29,4,Commercial
407,398,71,30,4,Commercial
408,399,71,31,4,?
409,400,71,32,4,?
410,401,72,1,4,Commercial
411,402,72,2,4,Commercial
412,403,72,3,4,Residential
413,404,72,4,4,Residential
414,405,72,5,4,Residential
415,406,72,6,4,"Residential
Commercial"
416,407,72,7,4,"Residential
Commercial"
417,408,72,8,4,Residential
418,409,72,9,4,Commercial
419,410,72,10,4,Residential
420,411,76,1,4,Residential
421,412,76,2,4,Residential
422,413,76,3,4,"Residential
Commercial"
423,414,76,4,4,Residential
424,415,76,5,4,Residential
425,416,76,6,4,Residential
426,417,76,7,4,Residential
427,418,76,8,4,Residential
428,419,76,9,4,Residential
430,420,29,13,4,Residential
431,421,29,14,4,Residential
432,422,29,15,4,Residential
433,423,29,16,4,Residential
434,424,29,17,4,Residential
435,425,29,18,4,Residential
436,426,29,19,4,Residential
437,427,29,20,4,Residential
438,428,29,21,4,Residential
439,429,29,25,4,Residential
440,430,29,31,4,Residential
441,431,30,6,4,Residential
442,432,30,8,4,Residential
443,433,30,10,4,Residential
444,434,30,15,4,Residential
445,435,30,16,4,Residential
446,436,30,17,4,Residential
447,437,30,18,4,
448,438,30,19,4,Residential
449,439,30,22,4,Residential
450,440,30,24,4,Residential
451,441,30,25,4,Residential
452,442,30,26,4,Residential
453,443,30,27,4,Residential
454,444,30,28,4,Residential
455,445,30,29,4,Residential
456,446,30,30,4,Commercial
457,447,30,31,4,Commercial
458,448,30,32,4,Residential
459,449,30,39A,4,Residential
460,450,30,43,4,Residential
461,451,30,44,4,Residential
462,452,31,6,4,Residential
463,453,31,15,4,Residential
464,454,31,17,4,
465,455,31,20,4,
466,456,31,21,4,
467,457,31,22,4,Residential
468,458,31,23,4,Commercial
469,459,31,24,4,Commercial
470,460,31,25,4,Commercial
471,461,31,26,4,Commercial
472,462,31,27,4,Commercial
473,463,31,28,4,Residential
474,464,31,32,4,Residential
475,465,31,33,4,Residential
476,466,32,6,4,
477,467,32,14,4,
478,468,32,15,4,Commercial
479,469,32,16,4,Residential
480,470,33,1,4,Residential
481,471,33,5,4,Residential
482,472,33,7,4,Residential
483,473,33,10,4,Residential
485,474,Fall 2017,Fall 2017,Fall 2017,Fall 2017
487,475,55,10,4,Residential
488,476,55,11,4,Residential
489,477,55,9,4,Residential
490,478,55,8,4,Residental
491,479,15,2,4,Residental
493,480,55,4,4,Residential
494,481,55,5,4,Residential
495,482,55,3,4,Residential
496,483,55,2,4,Residential
497,484,55,51,3,Residential
498,485,55,50,4,Residential
499,486,53,4,4,Residential
500,487,53,6,4,Apartment Use
501,488,53,5,4,Residential
502,489,53,3,4,Residential
503,490,53,7,4,Residential
504,491,55,13,4,Residential 
505,492,55,12,4,Residential 
506,493,55,42,4,Residential 
507,494,55,43,4,Residential 
508,495,55,47,4,Residential 
509,496,55,46,4,Residential 
510,497,55,49,4,Residential 
511,498,55,48,4,Residential 
512,499,5,2,4,Residential 
513,500,5,19,4,Residential 
514,501,55,6,4,Commercial
515,502,55,7,4,Residential 
516,503,5,5,4,Residential
517,504,5,17,4,Residential
518,505,5,18,4,Residential
519,506,4,5,4,Residential
520,507,4,4,4,Residential
521,508,53,12,4,Residential
522,509,53,15A,4,Residential
523,510,53,16,4,Residential
524,511,5,20,4,Residential
525,512,53,2,4,Residential
526,513,50,18,4,Residential
527,514,50,19,4,Residential
528,515,4,24,4,Commercial
529,516,4,23,4,Commercial
530,517,5,16,4,Residential
531,518,5,13,4,Residential
532,519,5,12,4,Residential
533,520,53,15B,4,Residential
534,521,53,8,4,Residential
535,522,55,40,4,Residential
536,523,55,41,4,Church
537,524,5,6,4,Residential
538,525,5,9,4,Residential
539,526,5,10,4,Residential
540,527,5,11,4,Residential
541,528,4,6,4,Commercial
542,529,4,9,4,Residential
543,530,4,21,4,Residential
544,531,4,22,4,Commercial
545,532,53,9,4,Residential
546,533,55,1,4,Residential
547,534,4,5,4,Residential
549,535,6,8,4,Residential
550,536,5,21,4,Residential
551,537,5,21,4,Residential
552,538,5,21,4,Residential
553,539,6,38,4,Residential
554,540,6,38,4,Residential
555,541,6,38,4,Residential
